Page Visits	Submissions	Comments Received	Comments Given	Journals	Favs
8773	11	1857	2265	11	903
3987	98	1034	1530	34	296
5625	85	826	617	0	727
4900	7	869	979	25	106
15220	243	16110	32821	872	1328
56448	1549	25123	22656	1685	17677		
2160	0	321	121	2	323
11792	78	479	218	0	4567
32607	134	6138	6258	37	6075
2486	127	269	188	12	272
11124	58	1282	1442	22	901
1539	9	183	590	4	171
115235	252	22477	15412	50	96460
27183	171	2173	1355	68	8644
49782	2168	18847	18114	309	20647
39395	120	1848	761	15	23026
59033	1115	9133	4673	161	88622
2906	203	828	1211	6	967
39811	161	5122	3156	9	9861
30306	190	3840	4972	1	18276
789	0	269	409	0	24
9512	139	2767	2275	152	1276
183	12	71	43	1	21
2251	18	233	235	2	55
1714	72	234	265	3	492
850	12	122	162	1	162
7622	37	3873	7200	0	335
9141	67	1308	943	11	1298
77938	0	10807	1626	0	35830
307	5	15	4	1	56
13884	316	3002	2198	25	7734
1930	3	47	35	1	164
6815	57	1328	665	31	808
1777	9	220	406	17	91
7037	61	154	27	4	3399
7103	203	2405	1884	8	1968		
2079	5	178	735	0	112
1373	21	229	165	1	46
1299	3	205	1	0	25
5020	8	927	1002	0	190
975	6	426	405	1	85
639	0	82	30	1	0
304	1	85	220	3	1
2721	26	646	400	4	93
448	1	289	495	0	3
2158	0	500	199	0	32
6244	267	1532	916	7	787
5957	112	1089	1050	39	288
227	11	40	31	1	41		
13511	85	2317	1902	74	996
814	0	177	146	3	0
64	0	3	0	0	0
9636	11	797	1908	0	194
6627	729	1809	892	53	5662
4397	0	1231	1239	0	0
33297	230	9225	12062	533	6666
8039	21	890	388	2	359
3418	78	209	88	2	1493
36	0	5	0	0	0
24378	549	1437	2416	83	8243
2188	56	1114	1556	36	92
10302	399	7008	11411	259	1292
1516	18	232	390	1	32
2474	103	279	184	0	710
4680	291	2659	3054	34	2838
37473	90	10437	8072	213	2354
14241	146	4330	9536	45	724
2333	97	317	152	5	1863
2660	52	500	614	4	358
497	0	162	233	0	0
1849	6	254	179	0	74
2352	0	324	328	2	25
6431	0	1222	552	0	0
7291	0	1319	407	7	0
9203	179	6198	7516	36	743
28257	321	3023	3143	13	10752
3712	132	146	179	11	1375
247	0	58	8	0	0
11339	48	1480	1235	48	1479
707	0	164	171	1	0
12970	77	1365	867	23	2208
106108	1007	18343	10343	297	86849
1686	138	372	909	43	298
13917	22	1063	1431	16	363
20304	814	9606	17583	67	3788
31482	195	1143	617	63	10858
8118	64	1087	916	83	3544
140236	289	12739	11136	202	24722
4455	93	1032	921	14	2256
1795	0	345	7	1	0
62	3	5	0	1	5
602	0	101	14	2	0
7399	216	3862	4821	2	764
265675	344	31878	17962	4	175001
41133	44	953	78	2	23760
717	11	125	44	20	14
5328	73	1400	2017	1	598
3011	0	731	49	1	0
4595	56	1313	1970	29	293
170	0	17	3	0	0
8916	450	2962	2462	48	5435
116	17	59	121	6	8
95	0	3	0	0	0
394	0	44	34	0	8
55	0	3	0	0	0
210424	138	4693	1120	37	37688
219	0	18	1	0	0
221	0	30	0	0	0
5941	26	366	197	8	2142
3748	0	570	184	0	0
6628	1	676	302	2	1698
140	0	17	0	0	0
1748	72	571	1152	32	126
11151	681	6367	5927	4	5626
2912	0	158	88	0	0
301	0	80	1	0	0
144219	284	3556	1093	37	38492
471	17	27	18	1	33		
4633	35	829	660	10	508
1460	0	390	1	2	0
1124	2	163	66	0	7
3720	23	330	368	2	82
30805	193	1394	653	6	10160
21963	148	4988	3937	65	4500
124	0	8	21	0	0
745	0	105	71	0	16
12025	62	2014	1786	2	273
237	0	31	0	0	0
43314	396	6434	1688	247	38865
3348	32	680	580	5	143
2909	58	414	471	15	110
3469	60	1492	1887	35	267
2130	4	338	200	0	7
14717	1	1737	830	1	11436
29787	74	1003	547	41	3383
327	0	27	13	0	0
27188	31	280	18	1	3883
2504	28	509	1672	19	140
723	45	219	358	5	68
4941	154	1195	1255	3	1883
56265	183	3383	343	11	10541
27623	370	908	852	7	12052
39592	151	1235	12	8	17949
7601	2	677	17	61	14
461	11	20	21	0	22
16774	452	7510	12283	77	3156
23936	519	4857	4850	23	7831
581	0	224	330	0	0
4221	0	459	440	0	262
3926	29	353	191	24	813
605	11	56	59	2	33
44722	437	4735	3301	160	33290
45358	268	4093	781	16	40840
984	26	40	11	4	235
30946	106	8620	6937	111	20590
2328	14	147	225	7	79
1729	5	375	473	5	88
127	3	27	10	0	2
19788	139	3320	5476	67	5438
21556	239	819	595	0	5358
14061	64	735	840	4	1799
225551	2193	7299	599	66	146350
5762	344	2888	4458	65	696
1913	0	79	32	0	0
252	2	49	23	1	3
6870	195	1699	1691	1	1818
1299871	1817	54052	19098	94	924571
824	0	228	0	0	0
15711	29	1469	2020	1	1009
32963	160	3636	4653	31	12196
309	0	0	0	0	0
6477	37	647	554	27	420
19621	515	4028	4722	59	5299
12941	305	1200	147	44	16310
49345	210	9043	6445	145	51839	
6240	189	1873	2496	19	1082
2986	70	1014	1298	10	190
15861	309	3462	3833	15	4736
423	37	114	236	8	114
45248	366	3428	3100	58	2706
1534	1	244	33	5	2
8230	30	1309	562	24	2574
11886	47	4607	6745	17	902
39997	117	3829	3998	0	6525
9274	123	798	194	25	3000
12920	66	554	535	77	2312
3217	0	484	358	0	712
738	6	93	49	3	20
5356	88	735	453	3	2103
441	32	43	62	0	70
8430	262	973	557	6	1485
276269	829	18809	7881	203	217713
1564	106	470	294	8	289
5993	67	2606	4302	41	154
11310	90	4013	3121	37	896
6712	251	1202	1651	20	2984
11270	23	1425	980	7	1167
49225	121	3868	2544	1	8043
27559	273	3985	4402	173	6592
1518	87	61	8	1	489
15552	509	5248	4277	231	5553		
3648	103	219	35	2	3488
23187	69	2986	2920	17	5394
179248	854	15910	5943	133	131438
156196	31	9848	6403	12	29417
481	27	63	145	2	44
6383	6	782	872	1	177
86663	269	22837	14514	188	50621
4098	10	1382	2258	28	30
7208	11	1826	3627	0	191
486	1	62	128	3	10
524	16	76	16	0	58
1391	21	415	397	6	115
33840	0	10215	12445	0	1346
8906	119	2073	3367	119	447
534	0	23	21	0	0
808	9	98	139	0	8
445	8	145	113	0	14
4582	22	207	151	1	966
2116	26	217	272	4	75
1195	1	321	429	24	14
1303	18	451	302	1	63
7322	34	1048	1005	0	1099
9928	72	2368	2887	6	742
5125	68	499	202	22	122
4641	66	2057	4126	0	963
76902	107	2094	739	2	59326
35079	133	5849	6256	0	6071
148580	486	5639	5481	16	42438
20712	831	4636	3789	166	5262
179298	116	3833	1853	37	30317
9564	611	3514	1823	9	2008
198	4	12	2	0	3
1651	76	44	8	2	55
1330	1	102	241	1	3
10057	393	4025	4913	240	959
1846	100	976	1339	28	752
6834	76	2559	3416	2	1316
29828	113	1144	784	69	1748
25269	40	3884	4043	168	2560
6705	248	2594	2401	0	889
224692	414	22907	43625	10	95499
482	22	66	42	22	29
95	23	15	9	2	3
13989	63	2418	2060	40	2431
846	58	134	203	5	330
5385	19	949	1082	6	288
31217	150	6595	9042	89	3929
160181	470	9515	1802	150	104020
32130	220	7437	9757	63	10959
820	89	244	322	12	178
8166	228	1252	1108	123	1519
69811	156	6338	5357	116	19315
13518	26	2602	2469	120	489
1126	1	532	566	0	6
6603	36	124	57	0	1394
10777	48	577	656	3	1608
16324	233	2391	2842	89	2273		
33433	1	1173	635	1	110
17496	138	1597	1956	237	9259
16135	421	9587	6012	152	4242
8664	293	5236	7559	280	1139
562	0	188	214	1	0
1187	0	178	186	0	0
12638	175	3074	5913	17	377
248283	573	11467	9689	145	65338
19493	442	4623	4812	131	9047
4622	108	816	693	83	1854
3062	5	507	77	0	17
2031	12	622	1344	7	8
9135	51	760	679	15	1610
637290	998	26029	13213	169	234706
654	5	71	30	0	3
51539	138	15773	44668	19	4796
1637	22	278	321	40	47
133118	297	8596	3088	27	24098
9529	137	2122	1423	105	6554
606	6	87	110	4	31
2629	45	872	1185	48	48
28360	337	2115	1153	120	12545
4235	5	77	32	0	381
260808	934	34899	8670	633	277784
817	66	185	21	0	182
114821	261	10891	8536	47	49536
122328	1203	60293	61130	531	30768
4034	79	1065	1566	5	293
14026	249	796	552	74	3102
6529	58	1198	906	7	309
42057	289	10381	10051	27	11456	
7236	35	1286	71	74	461
190490	855	20718	11361	3	84332
282	2	39	38	1	6
729	9	179	191	1	63
6049	67	534	765	0	406
443796	643	22931	10898	223	167288
286163	1108	62966	22273	80	290744
820	40	78	68	0	336
429	0	75	25	0	2
29887	305	2162	720	52	8613
317	7	42	47	0	13
391	21	48	72	1	21
6349	82	1653	2410	16	1051
908	74	307	351	21	132
1472	99	187	123	4	147
381	73	46	35	0	176
6771	74	985	1085	59	527
12661	64	618	533	1	3867
1590	1	329	267	0	4
67484	227	7790	8963	60	23038
6241	32	686	471	0	276
4179	13	2362	5030	98	89
6177	73	759	1214	3	840
1204	6	86	64	1	53
97	16	57	56	0	20
36902	363	3394	3479	127	9760
4982	10	1035	1506	0	178
205	11	62	85	5	4
308	0	26	0	0	0
2320	9	464	488	11	10
14994	132	1349	1493	2	3412
14397	45	4961	8354	78	448
16985	111	5978	8152	1	1962
20658	515	3569	5388	1	3427
48318	501	5337	5429	55	13298
15461	474	2194	2167	36	6224
11641	414	1852	1260	56	1604
7150	246	2889	4330	131	933
101583	1236	15534	6117	243	44180
12492	945	2455	1536	10	10060
